CustomerID,FirstName,LastName,Age,Gender,AccountBalance,AccountType,Email
1353,Deborah,Buck,69,Male,9063.02,Savings,wmartin@example.com
9519,Marissa,Mathis,30,Female,1567.66,Checking,david41@example.net
3596,Sharon,Howell,68,Male,12976.94,Checking,barronjack@example.org
1864,William,Gomez,57,Male,8836.75,Checking,davidsongina@example.com
7098,Katelyn,Cooper,26,Male,14481.04,Savings,hamiltonkimberly@example.net
6412,Kirk,Barnes,40,Female,12712.76,Checking,ashley52@example.org
7828,Martin,Payne,80,Male,11725.6,Checking,jtorres@example.org
7127,Linda,Weber,21,Male,7158.51,Checking,hunter76@example.net
5349,Jose,Wallace,34,Male,8585.55,Savings,jennifer50@example.org
3334,Barbara,Williams,73,Female,13157.23,Checking,hesshannah@example.net
9864,George,Keller,69,Male,13053.49,Savings,steven85@example.org
3083,Christian,Baker,45,Male,10394.01,Savings,johnsonjerry@example.net
2976,Dustin,Webb,56,Female,7106.07,Checking,hodgesdavid@example.net
4719,Scott,Becker,75,Female,6735.16,Checking,sean86@example.net
2283,Patricia,Gentry,21,Male,9150.53,Savings,brownedward@example.net
8412,Cassidy,Calderon,26,Female,10794.28,Savings,crystal88@example.net
8149,Andrea,Li,80,Female,6785.73,Savings,patriciagordon@example.org
2480,Brandon,Zhang,76,Female,9904.19,Savings,williamschristopher@example.net
6861,Adam,Morrison,59,Female,1408.43,Checking,lopezchristopher@example.com
7927,Justin,Moreno,19,Male,6262.59,Savings,wclark@example.net
9558,Hannah,Brown,73,Female,5448.82,Savings,casey36@example.net
9735,David,Hart,44,Female,10776.72,Savings,joshua70@example.org
8627,Larry,Mcdaniel,72,Female,9531.18,Checking,theresacraig@example.com
8742,Ruben,Martinez,40,Female,14707.48,Savings,melissa29@example.net
8042,Micheal,Conway,38,Female,7290.72,Savings,rachelpowell@example.com
1044,Carol,Thomas,55,Female,1348.04,Checking,joelmatthews@example.org
7561,Jenny,Fitzgerald,29,Female,2450.52,Savings,david34@example.org
4722,Michelle,Gibson,31,Male,10976.3,Savings,mariaramos@example.net
9659,Craig,Buchanan,80,Male,6790.7,Checking,lisa01@example.org
1344,Stephanie,Floyd,51,Female,13518.97,Checking,tina70@example.com
3115,Yesenia,Munoz,60,Female,9541.28,Savings,ryan85@example.com
2127,Heather,Fry,42,Male,2159.33,Checking,marybennett@example.org
3516,Robin,Bowers,30,Female,13070.26,Checking,sanchezdorothy@example.com
5767,Kimberly,Nguyen,60,Male,13520.72,Checking,michelle61@example.com
2148,Roger,Sanchez,35,Female,14187.09,Savings,brian39@example.org
3117,Brooke,Reid,45,Female,14109.14,Checking,amyking@example.com
5513,Jeffrey,Edwards,47,Female,5715.27,Checking,zfloyd@example.net
8738,Stephen,Arnold,57,Female,1493.71,Checking,hoodpeter@example.net
8038,Kelly,Taylor,46,Female,2738.61,Checking,ntorres@example.com
8912,Clinton,Lester,58,Male,7944.89,Savings,coxchristopher@example.com
8883,Kristi,Chambers,19,Female,14771.48,Checking,edwardsjeffrey@example.org
8424,Rebecca,Burns,21,Male,11584.99,Checking,ppage@example.net
6275,Kevin,Middleton,30,Female,4249.05,Savings,williamsvalerie@example.net
1965,Gregory,Rose,49,Female,10401.24,Checking,huntermarie@example.net
6365,Kelsey,Levy,73,Male,3916.7,Savings,xrussell@example.org
3885,Mario,Reed,68,Male,9096.06,Savings,kathryndavis@example.net
7503,Christine,Middleton,55,Female,4000.55,Checking,bookerdanielle@example.net
1511,Aaron,Carter,21,Male,4231.95,Savings,sandyparker@example.net
6838,Brian,Terry,48,Male,4401.91,Checking,ariel72@example.org
4652,Dawn,Reyes,67,Female,2765.28,Checking,michaelmartinez@example.org
4260,Susan,Estes,65,Female,14800.99,Savings,bowersbethany@example.net
5971,Michael,Snyder,76,Male,10288.99,Checking,roytanya@example.com
5219,Dana,Horne,64,Male,5795.07,Checking,christinaclark@example.net
3373,Brian,Koch,68,Female,14130.41,Savings,diazsharon@example.com
1508,Alexis,White,68,Female,9369.98,Checking,gnichols@example.com
2172,Paul,Davidson,22,Male,9539.72,Savings,bthomas@example.org
8040,Jesus,White,74,Female,7017.5,Savings,amber34@example.com
7305,Michael,Jordan,23,Male,1125.46,Savings,christophervillegas@example.com
3633,Beverly,Lowe,35,Female,2972.25,Checking,nancy83@example.net
9554,Christina,Day,28,Male,1762.26,Checking,hannahadams@example.com
30,Christopher,Edwards,74,Male,12594.15,Savings,watkinsrebecca@example.net
8451,Rebecca,Wood,70,Male,10523.16,Checking,tanyabrady@example.org
